MeasurementType,Src/Initiator,Dst/Switch,Delay
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.004894
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.010954
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.013048
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.013403
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.009284
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.010848
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.044073
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.02911
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.030109
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.052226
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.058949
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.008132
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.014712
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.015051
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.016152
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.012421
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.015964
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.016751
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.018016
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.011839
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.012932
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.045835
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.017828
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.025943
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.037848
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.044756
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.030792
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.03087
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.04717
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.050316
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.01139
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.012695
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.044662
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.009106
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.01095
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.011682
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.012647
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.031441
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.024901
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.07411
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.011823
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.048368
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.022625
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.023965
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.042963
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.022241
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.023647
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.024417
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.032305
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.053326
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.062058
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.008793
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.020909
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.021806
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.026787
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.047738
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.048894
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.063573
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.027281
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.028809
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.029676
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.029697
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.041935
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.044679
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.077483
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.033446
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.0345
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.056701
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.060402
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.007588
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.019924
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.021399
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.040724
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.032997
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.047061
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.051678
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.052074
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.011619
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.023871
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.026908
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.045253
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.011835
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.022051
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.02622
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.038942
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.019591
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.044203
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.046148
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.048424
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.007863
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.01768
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.019122
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.040035
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.008292
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.028301
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.030148
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.046716
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.007835
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.017335
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.021094
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.039832
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.011829
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.031008
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.035976
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.041082
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.009155
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.020145
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.02148
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.041795
Path,00:00:00:00:00:02,00:00:00:00:00:01,0.047397
Path,00:00:00:00:00:01,00:00:00:00:00:01,0.052121
Path,00:00:00:00:00:01,00:00:00:00:00:02,0.074293
Path,00:00:00:00:00:02,00:00:00:00:00:02,0.077726
